,代號,名稱
1466,5283,禾聯碩
1467,5284,jpp-KY
1468,5285,界霖
1469,5287,數字
1470,5288,豐祥-KY
1471,5289,宜鼎
1472,5291,邑昇
1473,5292,華懋
1474,5297,廣化
1475,5299,杰力
1476,5301,寶得利
1477,5302,太欣
1478,5304,鼎創達
1479,5305,敦南
1480,5306,桂盟
1481,5309,系統電
1482,5310,天剛
1483,5312,寶島科
1484,5314,世紀
1485,5315,光聯
1486,5321,友銓
1487,5324,士開
1488,5328,華容
1489,5340,建榮
1490,5344,立衛
1491,5345,天揚
1492,5347,世界
1493,5348,系通
1494,5349,先豐
1495,5351,鈺創
1496,5353,台林
1497,5355,佳總
1498,5356,協益
1499,5364,力麗店
1500,5371,中光電
1501,5381,合正
1502,5383,金利
1503,5386,青雲
1504,5388,中磊
1505,5392,應華
1506,5398,慕康生醫
1507,5403,中菲
1508,5410,國眾
1509,5425,台半
1510,5426,振發
1511,5432,達威
1512,5434,崇越
1513,5438,東友
1514,5439,高技
1515,5443,均豪
1516,5450,寶聯通
1517,5452,佶優
1518,5455,昇益
1519,5457,宣德
1520,5460,同協
1521,5464,霖宏
1522,5465,富驊
1523,5468,凱鈺
1524,5469,瀚宇博
1525,5471,松翰
1526,5474,聰泰
1527,5475,德宏
1528,5478,智冠
1529,5481,新華
1530,5483,中美晶
1531,5484,慧友
1532,5487,通泰
1533,5488,松普
1534,5489,彩富
1535,5490,同亨
1536,5493,三聯
1537,5498,凱崴
1538,5508,永信建
1539,5511,德昌
1540,5512,力麒
1541,5514,三豐
1542,5515,建國
1543,5516,雙喜
1544,5519,隆大
1545,5520,力泰
1546,5521,工信
1547,5522,遠雄
1548,5523,豐謙
1549,5525,順天
1550,5529,志嘉
1551,5530,龍巖
1552,5531,鄉林
1553,5533,皇鼎
1554,5534,長虹
1555,5536,聖暉
1556,5538,東明-KY
1557,5543,崇佑-KY
1558,5546,永固-KY
1559,5547,久舜
1560,5601,台聯櫃
1561,5603,陸海
1562,5604,中連貨
1563,5607,遠雄港
1564,5608,四維航
1565,5609,中菲行
1566,5701,劍湖山
1567,5703,亞都
1568,5704,老爺知
1569,5706,鳳凰
1570,5820,日盛金
1571,5859,遠壽
1572,5863,瑞興銀
1573,5864,致和證
1574,5871,中租-KY
1575,5876,上海商銀
1576,5878,台名
1577,5880,合庫金
1578,5902,德記
1579,5903,全家
1580,5904,寶雅
1581,5905,南仁湖
1582,5906,台南-KY
1583,5907,大洋-KY
1584,6005,群益證
1585,6015,宏遠證
1586,6016,康和證
1587,6020,大展證
1588,6021,大慶證
1589,6023,元大期
1590,6024,群益期
1591,6026,福邦證
1592,6027,德信
1593,6028,公勝保經
1594,6101,寬魚國際
1595,6103,合邦
1596,6104,創惟
1597,6108,競國
1598,6109,亞元
1599,6111,大宇資
1600,6112,聚碩
1601,6113,亞矽
1602,6114,久威
1603,6115,鎰勝
1604,6116,彩晶
1605,6117,迎廣
1606,6118,建達
1607,6120,達運
1608,6121,新普
1609,6122,擎邦
1610,6123,上奇
1611,6124,業強
1612,6125,廣運
1613,6126,信音
1614,6127,九豪
1615,6128,上福
1616,6129,普誠
1617,6130,星寶國際
1618,6131,鈞泰
1619,6133,金橋
1620,6134,萬旭
1621,6136,富爾特
1622,6138,茂達
1623,6139,亞翔
1624,6140,訊達
1625,6141,柏承
1626,6142,友勁
1627,6143,振曜
1628,6144,得利影
1629,6146,耕興
1630,6147,頎邦
1631,6148,驊宏資
1632,6150,撼訊
1633,6151,晉倫
1634,6152,百一
1635,6153,嘉聯益
1636,6154,順發
1637,6155,鈞寶
1638,6156,松上
1639,6158,禾昌
1640,6160,欣技
1641,6161,捷波
1642,6163,華電網
1643,6164,華興
1644,6165,捷泰
1645,6166,凌華
1646,6167,久正
1647,6168,宏齊
1648,6169,昱泉
1649,6170,統振
1650,6171,亞銳士
1651,6172,互億
1652,6173,信昌電
1653,6174,安碁
1654,6175,立敦
1655,6176,瑞儀
1656,6177,達麗
1657,6179,亞通
1658,6180,橘子
1659,6182,合晶
1660,6183,關貿
1661,6184,大豐電
1662,6185,幃翔
1663,6186,新潤
1664,6187,萬潤
1665,6188,廣明
1666,6189,豐藝
1667,6190,萬泰科
1668,6191,精成科
1669,6192,巨路
1670,6194,育富
1671,6195,詩肯
1672,6196,帆宣
1673,6197,佳必琪
1674,6198,凌泰
1675,6199,天品
1676,6201,亞弘電
1677,6202,盛群
1678,6203,海韻電
1679,6204,艾華
1680,6205,詮欣
1681,6206,飛捷
1682,6207,雷科
1683,6208,日揚
1684,6209,今國光
1685,6210,慶生
1686,6212,理銘
1687,6213,聯茂
1688,6214,精誠
1689,6215,和椿
1690,6216,居易
1691,6217,中探針
1692,6218,豪勉
1693,6219,富旺
1694,6220,岳豐
1695,6221,晉泰
1696,6222,上揚
1697,6223,旺矽
1698,6224,聚鼎
1699,6225,天瀚
1700,6226,光鼎
1701,6227,茂綸
1702,6228,全譜
1703,6229,研通
1704,6230,超眾
1705,6231,系微
1706,6233,旺玖
1707,6234,高僑
1708,6235,華孚
1709,6236,康呈
1710,6237,驊訊
1711,6239,力成
1712,6240,松崗
1713,6241,易通展
1714,6242,立康
1715,6243,迅杰
1716,6244,茂迪
1717,6245,立端
1718,6246,臺龍
1719,6247,淇譽電
1720,6248,沛波
1721,6251,定穎
1722,6257,矽格
1723,6259,百徽
1724,6261,久元
1725,6263,普萊德
1726,6264,富裔
1727,6265,方土昶
1728,6266,泰詠
1729,6269,台郡
1730,6270,倍微
1731,6271,同欣電
1732,6272,驊陞
1733,6274,台燿
1734,6275,元山
1735,6276,安鈦克
1736,6277,宏正
1737,6278,台表科
1738,6279,胡連
1739,6281,全國電
1740,6282,康舒
1741,6283,淳安
1742,6284,佳邦
1743,6285,啟碁
1744,6287,元隆
1745,6288,聯嘉
1746,6289,華上
1747,6290,良維
1748,6291,沛亨
1749,6292,迅德
1750,6294,智基
1751,6403,群登
1752,6404,通訊-KY
1753,6405,悅城
1754,6407,相互
1755,6409,旭隼
1756,6411,晶焱
1757,6412,群電
1758,6414,樺漢
1759,6415,矽力-KY
1760,6416,瑞祺電通
1761,6417,韋僑
1762,6418,詠昇
1763,6419,京晨科
1764,6423,億而得
1765,6425,易發
1766,6426,統新
1767,6428,淘米
1768,6431,光麗-KY
1769,6432,今展科
1770,6434,達輝光電
1771,6435,大中
1772,6438,迅得
1773,6441,廣錠
1774,6442,光聖
1775,6443,元晶
1776,6445,經絡醫
1777,6446,藥華藥
1778,6449,鈺邦
1779,6451,訊芯-KY
1780,6452,康友-KY
1781,6456,GIS-KY
1782,6457,紘康
1783,6461,益得
1784,6462,神盾
1785,6464,台數科
1786,6465,威潤
1787,6468,棒辣椒
1788,6469,大樹
1789,6470,宇智
1790,6472,保瑞
1791,6473,好玩家*
1792,6474,華豫寧
1793,6475,岱煒
1794,6477,安集
1795,6482,弘煜科
1796,6485,點序
1797,6486,互動
1798,6488,環球晶
1799,6491,晶碩
1800,6492,生華科
1801,6493,雷虎生
1802,6494,九齊
1803,6495,納諾*-KY
1804,6496,科懋
1805,6497,亞獅康-KY
1806,6498,久禾光
1807,6499,益安
1808,6504,南六
1809,6505,台塑化
1810,6506,雙邦
1811,6508,惠光
1812,6509,聚和
1813,6510,精測
1814,6512,啟發電
1815,6514,芮特-KY
1816,6515,穎崴
1817,6516,勤崴國際
1818,6518,康科特
1819,6523,達爾膚
1820,6525,捷敏-KY
1821,6527,明達醫
1822,6529,研鼎
1823,6530,創威
1824,6531,愛普
1825,6532,瑞耘
1826,6533,晶心科
1827,6534,正瀚
1828,6535,順藥
1829,6536,碩豐
1830,6538,倉和
1831,6539,翔宇
1832,6541,泰福-KY
1833,6542,隆中
1834,6543,普惠醫工
1835,6545,擎力
1836,6547,高端疫苗
1837,6548,長科*
1838,6549,景凱
1839,6550,北極星藥業-KY
1840,6552,易華電
1841,6555,榮炭
1842,6556,勝品
1843,6558,興能高
1844,6559,研晶
1845,6560,欣普羅
1846,6561,是方
1847,6564,安特羅
1848,6565,物聯
1849,6566,創益
1850,6568,宏觀
1851,6569,醫揚
1852,6570,維田
1853,6572,博錸
1854,6573,虹揚-KY
1855,6574,霈方
1856,6575,心悅
1857,6576,逸達
1858,6577,勁豐
1859,6578,達邦蛋白
1860,6579,研揚
1861,6580,台睿
1862,6581,鋼聯
1863,6582,申豐
1864,6583,友松
1865,6584,南俊國際
1866,6585,鼎基
1867,6586,醣基
1868,6588,東典光電
1869,6589,台康生技
1870,6590,普鴻
1871,6591,動力-KY
1872,6592,和潤企業
1873,6593,台灣銘板
1874,6594,展匯科
1875,6595,光禹國際
1876,6596,寬宏藝術
1877,6597,立誠
1878,6598,ABC-KY
1879,6599,普達系統
1880,6603,富強鑫
1881,6605,帝寶
1882,6606,建德工業
1883,6609,瀧澤科
1884,6610,安成生技
1885,6611,方舟
1886,6612,奈米醫材
1887,6613,朋億
1888,6615,慧智
1889,6616,特昇-KY
1890,6617,共信-KY
1891,6618,永虹先進
1892,6620,漢達
1893,6621,華宇藥
1894,6622,百聿數碼
1895,6624,萬年清
1896,6625,必應
1897,6626,唯數
1898,6629,泰金-KY
1899,6633,萊鎂醫
1900,6634,欣耀
1901,6637,醫影
1902,6638,沅聖
1903,6639,源大環能
1904,6640,均華
1905,6641,基士德-KY
1906,6642,富致
1907,6643,M31
1908,6645,金萬林
1909,6648,斯其大
1910,6649,台生材
1911,6650,帝圖
1912,6651,全宇昕
1913,6652,雅祥生醫
1914,6654,天正國際
1915,6655,科定
1916,6657,華安
1917,6661,威健生技
1918,6662,樂斯科
1919,6664,群翊
1920,6665,康聯生醫
1921,6666,羅麗芬-KY
1922,6667,信紘科
1923,6668,中揚光
1924,6669,緯穎
1925,6670,復盛應用
1926,6671,三能-KY
1927,6672,騰輝電子-KY
1928,6673,和詮
1929,6674,鋐寶科技
1930,6677,瑩碩生技
1931,6679,鈺太
1932,6680,鑫創電子
1933,6682,碩鑽材料
1934,6683,雍智科技
1935,6684,安格
1936,6688,海樂影業
1937,6689,伊雲谷
1938,6690,安碁資訊
1939,6691,洋基工程
1940,6692,進能服
1941,6693,廣閎科
1942,6695,芯鼎
1943,6696,仁新
1944,6697,東捷資訊
1945,6698,旭暉應材
1946,6699,奇邑
1947,6703,軒郁
1948,6705,振躍精密
1949,6706,惠特
1950,6708,天擎
1951,6709,昱厚生技
1952,6712,長聖
1953,6713,博謙生技
1954,6715,嘉基
1955,6716,應廣
1956,6717,智慧光
1957,6720,久昌
1958,6721,信實保全
1959,6723,傑智環境
1960,6724,創王
1961,6727,亞泰金屬
1962,6728,上洋
1963,6729,機光科技
1964,6730,常廣
1965,6731,啟坤
1966,6732,昇佳電子
1967,6733,博晟生醫
1968,6734,安盛生
1969,6735,美達科技
1970,6736,碩辣椒
1971,6737,秀育
1972,6738,鼎恒
1973,6740,松果購物
1974,6743,安普新
1975,6744,豐技生技
1976,6747,亨泰光
1977,6750,泰創工程
1978,6751,智聯服務
1979,6752,叡揚資訊
1980,6754,匯僑設計
1981,6755,連鋐科技
1982,6756,威鋒電子
1983,6757,台灣虎航
1984,6758,冠亞
1985,6761,穩得
1986,6762,達亞
1987,6763,綠界科技
1988,6764,亞洲教育
1989,6767,台微醫
1990,6771,平和環保
1991,6775,穎台科技
1992,6776,展碁國際
1993,6803,崑鼎
1994,7402,邑錡
1995,7419,達勝
1996,7443,凡事康
1997,7507,環拓科技
1998,7516,清淨海
1999,7551,知識科技
2000,7556,意德士
2001,8011,台通
2002,8016,矽創
2003,8021,尖點
2004,8024,佑華
2005,8027,鈦昇
2006,8028,昇陽半導體
2007,8032,光菱
2008,8033,雷虎
2009,8034,榮群
2010,8038,長園科
2011,8039,台虹
2012,8040,九暘
2013,8042,金山電
2014,8043,蜜望實
2015,8044,網家
2016,8045,達運光電
2017,8046,南電
2018,8047,星雲
2019,8048,德勝
2020,8049,晶采
2021,8050,廣積
2022,8054,安國
2023,8059,凱碩
2024,8064,東捷
2025,8066,來思達
2026,8067,志旭
2027,8068,全達
2028,8069,元太
2029,8070,長華
2030,8071,能率網通
2031,8072,陞泰
2032,8074,鉅橡
2033,8076,伍豐
2034,8077,洛碁
2035,8080,永利聯合
2036,8081,致新
2037,8083,瑞穎
2038,8084,巨虹
2039,8085,福華
2040,8086,宏捷科
2041,8087,華鎂鑫
2042,8088,品安
2043,8089,康全電訊
2044,8091,翔名
2045,8092,建暐
2046,8093,保銳
2047,8096,擎亞
2048,8097,常珵
2049,8099,大世科
2050,8101,華冠
2051,8103,瀚荃
2052,8104,錸寶
2053,8105,凌巨
2054,8107,大億金茂
2055,8109,博大
2056,8110,華東
2057,8111,立碁
2058,8112,至上
2059,8114,振樺電
2060,8115,帝聞
2061,8119,公信
2062,8121,越峰
2063,8131,福懋科
2064,8147,正淩
2065,8150,南茂
2066,8155,博智
2067,8163,達方
2068,8171,天宇
2069,8176,智捷
2070,8179,旭德
2071,8182,加高
2072,8183,精星
2073,8201,無敵
2074,8210,勤誠
2075,8213,志超
2076,8215,明基材
2077,8222,寶一
2078,8234,新漢
2079,8240,華宏
2080,8249,菱光
2081,8255,朋程
2082,8261,富鼎
2083,8271,宇瞻
2084,8277,商丞
2085,8279,生展
2086,8281,歐普羅
2087,8284,三竹
2088,8289,泰藝
2089,8291,尚茂
2090,8298,威睿
2091,8299,群聯
2092,8329,台視
2093,8341,日友
2094,8342,益張
2095,8349,恒耀
2096,8349A,恒耀甲特
2097,8354,冠好
2098,8358,金居
2099,8359,錢櫃
2100,8367,建新國際
2101,8374,羅昇
2102,8383,千附
2103,8390,金益鼎
2104,8401,白紗科
2105,8403,盛弘
2106,8404,百和興業-KY
2107,8406,金可-KY
2108,8409,商之器
2109,8410,森田
2110,8411,福貞-KY
2111,8415,大國鋼
2112,8416,實威
2113,8418,捷必勝-KY
2114,8420,明揚
2115,8421,旭源
2116,8422,可寧衛
2117,8423,保綠-KY
2118,8424,惠普
2119,8426,紅木-KY
2120,8427,基勝-KY
2121,8429,金麗-KY
2122,8431,匯鑽科
2123,8432,東生華
2124,8433,弘帆
2125,8435,鉅邁
2126,8436,大江
2127,8437,大地-KY
2128,8438,昶昕
2129,8440,綠電
2130,8442,威宏-KY
2131,8443,阿瘦
2132,8444,綠河-KY
2133,8446,華研
2134,8450,霹靂
2135,8454,富邦媒
2136,8455,大拓-KY
2137,8458,影一
2138,8462,柏文
2139,8463,潤泰材
2140,8464,億豐
2141,8465,德河
2142,8466,美吉吉-KY
2143,8467,波力-KY
2144,8472,夠麻吉
2145,8473,山林水
2146,8476,台境
2147,8477,創業家
2148,8478,東哥遊艇
2149,8480,泰昇-KY
2150,8481,政伸
2151,8482,商億-KY
2152,8487,愛爾達
2153,8488,吉源-KY
2154,8489,三貝德
2155,8490,利得
2156,8491,真好玩
2157,8492,兔將
2158,8495,經緯航
2159,8497,格威傳媒
2160,8499,鼎炫-KY
2161,8905,裕國
2162,8906,花王
2163,8908,欣雄
2164,8916,光隆
2165,8916A,光隆甲特
2166,8917,欣泰
2167,8921,沈氏
2168,8923,時報
2169,8924,大田
2170,8926,台汽電
2171,8927,北基
2172,8928,鉅明
2173,8929,富堡
2174,8930,青鋼
2175,8931,大汽電
2176,8932,宏大
2177,8933,愛地雅
2178,8934,衡平
2179,8935,邦泰
2180,8936,國統
2181,8937,合騏
2182,8938,明安
2183,8940,新天地
2184,8941,關中
2185,8942,森鉅
2186,8996,高力
2187,9103,美德醫療-DR
2188,910322,康師傅-DR
2189,9105,泰金寶-DR
2190,910861,神州-DR
2191,9110,越南控-DR
2192,911608,明輝-DR
2193,911616,杜康-DR
2194,911622,泰聚亨-DR
2195,911868,同方友友-DR
2196,912000,晨訊科-DR
2197,912398,友佳-DR
2198,9136,巨騰-DR
2199,9188,精熙-DR
2200,9802,鈺齊-KY
2201,9902,台火
2202,9904,寶成
2203,9905,大華
2204,9906,欣巴巴
2205,9907,統一實
2206,9908,大台北
2207,9910,豐泰
2208,9911,櫻花
2209,9912,偉聯
2210,9914,美利達
2211,9917,中保科
2212,9918,欣天然
2213,9919,康那香
2214,9921,巨大
2215,9924,福興
2216,9925,新保
2217,9926,新海
2218,9927,泰銘
2219,9928,中視
2220,9929,秋雨
2221,9930,中聯資源
2222,9931,欣高
2223,9933,中鼎
2224,9934,成霖
2225,9935,慶豐富
2226,9937,全國
2227,9938,百和
2228,9939,宏全
2229,9940,信義
2230,9941,裕融
2231,9941A,裕融甲特
2232,9942,茂順
2233,9943,好樂迪
2234,9944,新麗
2235,9945,潤泰新
2236,9946,三發地產
2237,9949,琉園
2238,9950,萬國通
2239,9951,皇田
2240,9955,佳龍
2241,9957,燁聯
2242,9958,世紀鋼
2243,9960,邁達康
2244,9962,有益
2245,00878 ,國泰永續高股息
